ID,Key,AuthorID,Name,01.май,Дата обновления,Статус,Трудоемкость исходная,Трудоемкость потраченная,Трудоемкость остаток,Исполнитель,КЭ,Проектная область,Релиз,Severity,Спринт,PullRequest,Release,Epic
1,MR-1,1,Ut id nisl quis enim dignissim sagi,4-May,13-May,5,5,5,0,1,3,MR,5,0,1,1,8,2
3,MR-3,3,Nam eget dui. Class aptent taciti sociosqu ad litora torquent per conubia nostra  per i,5-May,12-May,5,8,7,0,1,3,MR,5,0,1,3,8,2
5,MR-5,3,Sed hendrerit. Sed augue ipsum  egestas nec ,6-May,14-May,5,3,3,0,1,3,MR,5,0,1,5,8,2
7,MR-7,1,Sed mollis  eros et ultrices tempus  mauris ipsum aliquam libero  non adipisc,7-May,8-May,5,1,1,0,3,3,MR,5,0,1,7,8,2
9,MR-9,1,Etiam feugiat lorem non m,8-May,13-May,5,4,4,0,3,3,MR,5,1,1,9,8,5
11,MR-11,5,Maecenas tempus  tellus eget condimentum rhoncus  sem q,9-May,17-May,5,5,5,0,3,3,MR,5,1,1,11,8,3
13,MR-13,4,Nullam nulla eros  ultricies sit amet  nonummy id ,10-May,15-May,5,8,7,0,3,3,MR,5,1,1,13,8,2
15,MR-15,4,Donec posuere vulputate arcu. Suspendisse eu ligula. Praesent blandit laoreet nibh. Mauris t,13-May,22-May,5,10,9,0,3,3,MR,5,0,1,15,8,4
17,MR-17,1,Nullam quis ante. Praesent vestibulum dapibus nibh. Ut id nisl quis enim dignissim sagittis,15-May,21-May,5,6,5,0,2,3,MR,5,0,1,17,8,4
19,MR-19,5,Nam commodo suscipit quam. In turpis. Maecenas nec odio et ante tincidunt tempus. Nulla neque,18-May,23-May,5,10,9,0,2,3,MR,5,1,1,19,8,2
21,MR-21,3,Quisque libero metus  condimentum nec  tempor a  commodo mollis  magna. Nullam quis ante. Cr,21-May,27-May,5,2,2,0,2,3,MR,5,0,1,21,8,1
23,MR-23,2,Cum sociis natoque penatibus et magnis dis parturient montes  nascetur ridiculu,23-May,31-May,5,1,1,0,1,3,MR,5,1,1,23,8,5
25,MR-25,1,Curabitur at lacus ac velit ornare lobortis. Duis vel nibh at velit sce,25-May,1-Jun,5,1,1,0,1,3,MR,5,0,1,25,8,4
27,MR-27,5,Ut id nisl quis enim dignissim sagittis. Donec posuere vulputate ar,26-May,4-Jun,5,3,3,0,1,3,MR,5,0,3,27,8,4
29,MR-29,2,Integer tincidunt. Etiam ultricies nisi vel,28-May,3-Jun,5,2,2,0,3,3,MR,5,0,3,29,8,2
